lr,seed,a,b,regime,ell_c,source_leaf,target_leaf,distance_d,t_flip,warmup_ok,depth,leaf_size,p,d_param
0.05,0,0.5,0.01,I,5,0,10,4,142,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,11,4,138,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,12,4,138,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,13,4,141,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,14,4,138,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,15,4,139,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,16,5,190,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,17,5,191,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,18,5,190,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,19,5,190,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,20,5,188,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,21,5,189,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,22,5,190,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,23,5,190,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,24,5,183,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,25,5,183,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,26,5,180,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,27,5,181,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,28,5,184,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,29,5,185,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,30,5,182,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,31,5,183,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,1,1,23,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,2,2,65,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,3,2,62,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,4,3,112,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,5,3,117,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,6,3,115,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,7,3,118,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,8,4,151,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,9,4,150,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,10,4,154,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,11,4,155,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,12,4,154,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,13,4,156,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,14,4,156,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,15,4,153,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,16,5,179,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,17,5,178,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,18,5,178,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,19,5,177,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,20,5,177,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,21,5,176,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,22,5,175,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,23,5,175,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,24,5,172,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,25,5,173,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,26,5,172,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,27,5,172,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,28,5,172,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,29,5,174,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,30,5,173,True,5,4,4.0,1
0.05,1,0.5,0.01,I,5,0,31,5,173,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,1,1,25,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,2,2,93,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,3,2,83,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,4,3,136,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,5,3,133,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,6,3,132,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,7,3,129,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,8,4,138,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,9,4,139,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,10,4,136,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,11,4,137,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,12,4,130,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,13,4,133,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,14,4,130,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,15,4,131,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,16,5,159,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,17,5,159,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,18,5,159,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,19,5,157,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,20,5,158,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,21,5,157,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,22,5,157,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,23,5,157,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,24,5,159,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,25,5,160,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,26,5,160,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,27,5,158,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,28,5,161,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,29,5,162,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,30,5,162,True,5,4,4.0,1
0.05,2,0.5,0.01,I,5,0,31,5,162,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,1,1,56,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,2,2,130,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,3,2,123,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,4,3,136,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,5,3,141,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,6,3,139,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,7,3,142,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,8,4,136,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,9,4,134,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,10,4,136,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,11,4,132,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,12,4,131,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,13,4,134,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,14,4,131,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,15,4,132,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,16,5,195,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,17,5,195,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,18,5,194,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,19,5,194,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,20,5,192,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,21,5,193,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,22,5,194,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,23,5,194,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,24,5,188,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,25,5,188,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,26,5,186,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,27,5,187,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,28,5,189,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,29,5,189,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,30,5,188,True,5,4,4.0,1
0.1,0,0.5,0.01,I,5,0,31,5,188,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,1,1,22,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,2,2,65,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,3,2,60,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,4,3,115,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,5,3,122,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,6,3,119,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,7,3,121,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,8,4,151,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,9,4,149,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,10,4,152,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,11,4,153,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,12,4,154,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,13,4,156,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,14,4,156,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,15,4,154,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,16,5,179,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,17,5,179,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,18,5,179,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,19,5,178,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,20,5,178,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,21,5,177,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,22,5,177,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,23,5,176,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,24,5,174,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,25,5,175,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,26,5,174,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,27,5,174,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,28,5,174,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,29,5,175,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,30,5,175,True,5,4,4.0,1
0.1,1,0.5,0.01,I,5,0,31,5,175,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,1,1,25,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,2,2,101,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,3,2,89,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,4,3,139,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,5,3,135,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,6,3,135,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,7,3,131,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,8,4,136,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,9,4,137,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,10,4,135,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,11,4,135,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,12,4,129,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,13,4,132,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,14,4,130,True,5,4,4.0,1
0.1,2,0.5,0.01,I,5,0,15,4,131,True,5,4,4.0,1
